(('1960', '04', '188830'), -1.1866666666666659)
(('1960', '04', '192830'), -1.6341666666666665)
(('1960', '04', '52230'), 5.44)
(('1960', '04', '53200'), 5.126666666666669)
(('1960', '04', '53260'), 4.7574999999999985)
(('1960', '04', '53360'), 5.65)
(('1960', '04', '53370'), 6.585555555555555)
(('1960', '04', '53650'), 6.642944785276072)
(('1960', '04', '54330'), 5.09888888888889)
(('1960', '04', '55570'), 3.754901960784315)
(('1960', '04', '62180'), 6.016871704745167)
(('1960', '04', '62190'), 5.634545454545457)
(('1960', '04', '62410'), 5.986994727592273)
(('1960', '04', '63050'), 6.369625246548319)
(('1960', '04', '63220'), 6.488888888888892)
(('1960', '04', '64020'), 4.422222222222222)
(('1960', '04', '64520'), 5.343333333333332)
(('1960', '04', '64600'), 5.521666666666666)
(('1960', '04', '65160'), 5.368661971830989)
(('1960', '04', '65640'), 4.609677419354838)
(('1960', '04', '65730'), 5.528888888888888)
(('1960', '04', '66120'), 3.9022222222222234)
(('1960', '04', '66410'), 5.468199999999997)
(('1960', '04', '68550'), 3.140833333333334)
(('1960', '04', '71380'), 5.474444444444442)
(('1960', '04', '71430'), 5.493174061433448)
(('1960', '04', '71470'), 5.969664902998239)
(('1960', '04', '72080'), 5.477777777777779)
(('1960', '04', '73250'), 4.961111111111114)
(('1960', '04', '73430'), 3.4491666666666663)
(('1960', '04', '74180'), 5.207836990595611)
(('1960', '04', '74600'), 5.363333333333334)
(('1960', '04', '75040'), 4.1075)
(('1960', '04', '76470'), 4.774444444444446)
(('1960', '04', '77220'), 3.949999999999998)
(('1960', '04', '78400'), 4.08956043956044)
(('1960', '04', '79580'), 2.6311111111111107)
(('1960', '04', '81060'), 5.377777777777779)
(('1960', '04', '81560'), 5.798039215686275)
(('1960', '04', '81620'), 5.263157894736841)
(('1960', '04', '82230'), 5.0522222222222215)
(('1960', '04', '82260'), 5.650602409638558)
(('1960', '04', '82490'), 3.5683333333333356)
(('1960', '04', '82650'), 5.790196078431375)
(('1960', '04', '83620'), 5.313333333333333)
(('1960', '04', '83640'), 5.309999999999999)
(('1960', '04', '84310'), 5.011157024793385)
(('1960', '04', '84580'), 4.484444444444444)
(('1960', '04', '84620'), 5.041111111111112)
(('1960', '04', '85040'), 4.221111111111112)
(('1960', '04', '85240'), 4.704770318021207)
(('1960', '04', '85650'), 4.308888888888887)
(('1960', '04', '86370'), 4.843057996485062)
(('1960', '04', '86480'), 4.241754385964915)
(('1960', '04', '87150'), 3.7741935483870956)
(('1960', '04', '87450'), 2.743333333333333)
(('1960', '04', '89240'), 2.670833333333334)
(('1960', '04', '91620'), 5.416666666666668)
(('1960', '04', '93220'), 4.952245862884161)
(('1960', '04', '93640'), 5.242028985507245)
(('1960', '04', '94170'), 5.330370370370368)
(('1960', '04', '95620'), 4.014166666666665)
(('1960', '04', '96350'), 4.614893617021277)
(('1960', '04', '97110'), 4.83786610878661)
(('1960', '04', '97200'), 4.04607329842932)
(('1960', '04', '97260'), 4.579396092362341)
(('1960', '04', '97530'), 5.258749999999991)
(('1960', '04', '97620'), 4.444444444444444)
(('1960', '04', '97630'), 4.468888888888889)
(('1960', '04', '98040'), 3.107531380753138)
(('1960', '04', '99270'), 1.5988888888888897)
(('1960', '04', '99450'), 1.3377777777777777)
(('1960', '05', '102190'), 10.768548387096773)
(('1960', '05', '103090'), 12.177419354838712)
(('1960', '05', '103410'), 9.64596774193548)
(('1960', '05', '105370'), 12.402150537634412)
(('1960', '05', '106100'), 12.174193548387096)
(('1960', '05', '107400'), 10.858064516129033)
(('1960', '05', '107440'), 8.121008403361344)
(('1960', '05', '108170'), 6.306451612903227)
(('1960', '05', '108320'), 8.566666666666666)
(('1960', '05', '108640'), 8.914516129032261)
(('1960', '05', '113410'), 9.701075268817204)
(('1960', '05', '114010'), 11.878494623655914)
(('1960', '05', '115230'), 10.737168141592925)
(('1960', '05', '116650'), 11.603225806451615)
(('1960', '05', '117160'), 10.1699099099099)
(('1960', '05', '117330'), 7.123655913978496)
(('1960', '05', '123480'), 7.5817204301075245)
(('1960', '05', '124020'), 8.587096774193546)
(('1960', '05', '127310'), 9.638392857142856)
(('1960', '05', '127380'), 10.354838709677418)
(('1960', '05', '127600'), 8.095698924731183)
(('1960', '05', '132620'), 7.146236559139782)
(('1960', '05', '134110'), 9.159795570698467)
(('1960', '05', '135440'), 9.859523809523816)
(('1960', '05', '136420'), 10.937634408602147)
(('1960', '05', '136610'), 10.86021505376344)
(('1960', '05', '137030'), 11.743842364532021)
(('1960', '05', '139340'), 10.591176470588229)
(('1960', '05', '139540'), 12.096296296296305)
(('1960', '05', '140360'), 7.3353982300884955)
(('1960', '05', '144300'), 6.933870967741933)
(('1960', '05', '145340'), 9.592708333333333)
(('1960', '05', '147100'), 8.465322580645159)
(('1960', '05', '147570'), 10.408717948717948)
(('1960', '05', '149160'), 11.876795580110496)
(('1960', '05', '150640'), 10.419047619047614)
(('1960', '05', '151290'), 7.298360655737702)
(('1960', '05', '155910'), 7.2537634408602125)
(('1960', '05', '157720'), 9.591397849462366)
(('1960', '05', '158850'), 9.335754189944133)
(('1960', '05', '159970'), 9.833333333333334)
(('1960', '05', '160740'), 10.20967741935484)
(('1960', '05', '160790'), 11.505376344086022)
(('1960', '05', '161670'), 6.924731182795699)
(('1960', '05', '162860'), 10.574372759856637)
(('1960', '05', '163690'), 11.48882352941177)
(('1960', '05', '163950'), 9.843548387096778)
(('1960', '05', '167710'), 7.432258064516129)
(('1960', '05', '167980'), 8.688172043010757)
(('1960', '05', '169880'), 9.975268817204302)
(('1960', '05', '172680'), 11.71505376344086)
(('1960', '05', '173810'), 11.923655913978493)
(('1960', '05', '180750'), 8.611827956989247)
(('1960', '05', '180940'), 6.680919931856901)
(('1960', '05', '183760'), 10.095238095238097)
(('1960', '05', '188830'), 4.102419354838711)
(('1960', '05', '192830'), 6.266666666666666)
(('1960', '05', '52230'), 11.46236559139785)
(('1960', '05', '53200'), 10.66021505376344)
(('1960', '05', '53260'), 10.265853658536582)
(('1960', '05', '53360'), 11.762096774193543)
(('1960', '05', '53370'), 13.070967741935485)
(('1960', '05', '53650'), 12.308426966292133)
(('1960', '05', '54330'), 9.815217391304348)
(('1960', '05', '55570'), 7.88292682926829)
(('1960', '05', '62180'), 12.333333333333329)
(('1960', '05', '62190'), 11.633870967741931)
(('1960', '05', '62410'), 12.655631399317405)
(('1960', '05', '63050'), 12.417162872154108)
(('1960', '05', '63220'), 11.701321585903091)
(('1960', '05', '64020'), 9.722580645161294)
(('1960', '05', '64520'), 12.580645161290322)
(('1960', '05', '64600'), 11.378494623655916)
(('1960', '05', '65160'), 11.910204081632653)
(('1960', '05', '65640'), 10.645217391304346)
(('1960', '05', '65730'), 12.051612903225804)
(('1960', '05', '66120'), 9.180645161290322)
(('1960', '05', '66410'), 10.79026086956521)
(('1960', '05', '68550'), 8.766935483870967)
(('1960', '05', '71380'), 12.419354838709678)
(('1960', '05', '71430'), 12.357419354838713)
(('1960', '05', '71470'), 13.16122448979591)
(('1960', '05', '72080'), 12.392473118279575)
(('1960', '05', '73250'), 12.631182795698924)
(('1960', '05', '73430'), 10.68467741935484)
(('1960', '05', '74180'), 12.018110236220467)
(('1960', '05', '74600'), 11.811827956989251)
(('1960', '05', '75040'), 10.701612903225808)
(('1960', '05', '76470'), 10.997849462365593)
(('1960', '05', '77220'), 8.304838709677421)
(('1960', '05', '78400'), 9.62289156626506)
(('1960', '05', '79580'), 7.910752688172039)
